NAME,STREAMS,DAILY
"O!RUL8,2?","293,054,594","2,746,972"
2 Cool 4 Skool,"394,079,534","3,609,479"
Wake Up,"66,586,642","594,898"
Dark & Wild,"594,631,063","4,833,604"
Skool Luv Affair,"663,328,340","5,673,286"
The Most Beautiful Moment in Life PT.2,"867,443,445","6,076,639"
The Most Beautiful Moment in Life PT.1,"901,633,651","5,807,001"
Wings,"1,804,299,999","11,129,975"
Youth,"124,343,456","1,001,686"
The Most Beautiful Moment in Life: Young Forever	,"863,190,163","5,977,083"
You Never Walk Alone,"1,889,138,868","1,147,313,140"
Love Yourself 'Her',"746,922,823","-1,129,369,271"
Love Yourself 'Answer',"4,277,390,851","31,747,362"
Love Yourself 'Tear',"523,636,861","3,987,179"
Face Yourself,"475,891,956","2,392,187"
MAP OF THE SOUL : PERSONA,"2,171,518,064","15,143,129"
BE,"2,849,100,537","23,687,484"
MAP OF THE SOUL : 7 ~ THE JOURNEY,"649,728,193","3,899,421"
MAP OF THE SOUL : 7,"2,699,486,807","23,097,987"
Proof,"1,277,501,140","37,782,644"
