NAME,PREV
"O!RUL8,2?","293,054,594"
2 Cool 4 Skool,"394,079,534"
Wake Up,"66,586,642"
Dark & Wild,"594,631,063"
Skool Luv Affair,"663,328,340"
The Most Beautiful Moment in Life PT.2,"867,443,445"
The Most Beautiful Moment in Life PT.1,"901,633,651"
Wings,"1,804,299,999"
Youth,"124,343,456"
The Most Beautiful Moment in Life: Young Forever	,"863,190,163"
You Never Walk Alone,"1,889,138,868"
Love Yourself 'Her',"746,922,823"
Love Yourself 'Answer',"4,277,390,851"
Love Yourself 'Tear',"523,636,861"
Face Yourself,"475,891,956"
MAP OF THE SOUL : PERSONA,"2,171,518,064"
BE,"2,849,100,537"
MAP OF THE SOUL : 7 ~ THE JOURNEY,"649,728,193"
MAP OF THE SOUL : 7,"2,699,486,807"
Proof,"1,277,501,140"
